company,address,longitude,latitude,status,link_to_page,note
Google,"300 Riverside Pkwy Lithia Springs Georgia, USA  ",-1,-1,Active,https://www.datacentermap.com/usa/georgia/atlanta/google-douglas-county-data-center-2/,Part of Google Douglas County Campus
Google,"Rumble Rd Forsyth Georgia, USA",-1,-1,Land Banked,https://www.datacentermap.com/usa/georgia/macon/google-rumble-road/,
Google,"6015 Adams Center Road Fort Wayne Indiana, USA",-85.05362612710196,41.0309293,Active,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-data-center/,
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Under Construction,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-1/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-10/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-11/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-12/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-2/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-3/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-4/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-5/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-6/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-7/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-8/,Part of Google Fort Wayne Campus
Google,"6015 Adams Center Road Fort Wayne Indiana, USA  ",-85.05362612710196,41.0309293,Planned,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-building-9/,Part of Google Fort Wayne Campus
Google,"Keller Hill Rd &amp; N Union Church Rd Monroe Township Indiana, USA",-1,-1,Planned,https://www.datacentermap.com/usa/indiana/indianapolis/google-monroe-township/,
Google,"I-74 &amp; S Post Road Indianapolis  Indiana, USA",-1,-1,Planned,https://www.datacentermap.com/usa/indiana/indianapolis/project-flo/,
Google,"Edgewood Rd SW &amp; 76th Ave SW Cedar Rapids Iowa, USA",-1,-1,Planned,https://www.datacentermap.com/usa/iowa/cedar-rapids/google-cedar-rapids/,
Google,"10420 Bunge Ave Council Bluffs Iowa, USA",-1,-1,Active,https://www.datacentermap.com/usa/iowa/council-bluffs/google-southlands-campus/,
Google,"1430 Veterans Memorial Hwy Council Bluffs Iowa, USA",-1,-1,Active,https://www.datacentermap.com/usa/iowa/council-bluffs/google-council-bluffs/,
Google,"10420 Bunge Ave Council Bluffs Iowa, USA  ",-1,-1,Active,https://www.datacentermap.com/usa/iowa/council-bluffs/google-southlands-building-1/,Part of Google Southlands Campus
Google,"10420 Bunge Ave Council Bluffs Iowa, USA  ",-1,-1,Active,https://www.datacentermap.com/usa/iowa/council-bluffs/google-southlands-building-2/,Part of Google Southlands Campus
Google,"10420 Bunge Ave Council Bluffs Iowa, USA  ",-1,-1,Active,https://www.datacentermap.com/usa/iowa/council-bluffs/google-southlands-building-3/,Part of Google Southlands Campus
